TR:primary:CellLine,TR:hepg2:CellLine,TR:prihu:CellLine,TR:hep3b:CellLine,TR:huh7:CellLine,TR:focus:CellLine,TR:NOCYTO,TR:il1a,TR:tgfa,TR:il6,TR:ins,TR:tnfa,TR:NOINHIB,TR:pi3ki,TR:meki,TR:ikki,DA:akt,DA:erk,DA:gsk3,DA:ikb,DA:jnk,DA:p38,DA:p70s6,DA:p90rsk,DA:stat3,DA:cjun,DA:creb,DA:histh3,DA:hsp27,DA:irs1s,DA:mek,DA:p53,DA:stat2,DA:tyk2,DV:akt,DV:erk,DV:gsk3,DV:ikb,DV:jnk,DV:p38,DV:p70s6,DV:p90rsk,DV:stat3,DV:cjun,DV:creb,DV:histh3,DV:hsp27,DV:irs1s,DV:mek,DV:p53,DV:stat2,DV:tyk2
BOOLY_4Huh7_DME_MEK+IKK_c01rF,,,,1,,1,,,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2111,1577,2970,491,380,227,9291,680,52,3144,127,716,716,2039,28087,709,463,3295
BOOLY_4Huh7_DME_IKK+PI3K_c01rG,,,,1,,1,,,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,573,3386,950,382,317,165,4499,572,51,2493,117,1033,868,2289,24338,998,296,3141
BOOLY_4Huh7_DME_PI3K+MEK+IKK_c01rH,,,,1,,1,,,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,757,1436,919,397,295,186,3369,533,37,2301,118,566,605,1292,28514,496,403,2447
BOOLY_4Huh7_IL1a_NOINH_c02rA,,,,1,,,1,,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4863,7874,6116,1297,1798,2231,23691,807,63,22480,952,1970,2025,4099,23335,608,198,3463
BOOLY_4Huh7_IL1a_PI3K_c02rB,,,,1,,,1,,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1116,10789,5596,1649,1508,2023,20506,932,98,19577,952,2574,1852,3689,24779,720,269,4193
BOOLY_4Huh7_IL1a_MEK_c02rC,,,,1,,,1,,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,7303,2825,7648,1821,2343,1650,25107,786,102,25714,599,1909,1653,4593,28427,872,481,3930
BOOLY_4Huh7_IL1a_IKK_c02rD,,,,1,,,1,,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3492,6487,4963,2213,539,750,14692,798,45,4341,203,1129,924,3201,24010,1258,262,4478
BOOLY_4Huh7_IL1a_PI3K+MEK_c02rE,,,,1,,,1,,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1859,2786,2819,1949,1875,1412,13745,687,119,23249,457,2495,1448,2252,28295,740,425,3061
BOOLY_4Huh7_IL1a_MEK+IKK_c02rF,,,,1,,,1,,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4591,1896,4041,2043,679,561,15160,655,48,12271,194,796,770,2423,28729,843,484,3168
BOOLY_4Huh7_IL1a_IKK+PI3K_c02rG,,,,1,,,1,,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,474,6623,1832,1554,302,443,6128,650,33,4111,196,716,748,1669,23149,531,184,2738
BOOLY_4Huh7_IL1a_PI3K+MEK+IKK_c02rH,,,,1,,,1,,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,933,1788,1318,1749,610,588,6100,618,50,11221,180,786,728,1679,27464,686,329,3069
BOOLY_4Huh7_TGFa_NOINH_c03rA,,,,1,,,,1,,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23443,23126,13086,590,695,449,25043,1867,96,21593,2486,3109,814,7148,26955,917,398,5690
BOOLY_4Huh7_TGFa_PI3K_c03rB,,,,1,,,,1,,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3518,23332,13421,542,569,360,24278,1777,79,22290,2433,2714,886,6848,27077,764,422,6097
BOOLY_4Huh7_TGFa_MEK_c03rC,,,,1,,,,1,,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24419,7277,13025,744,1105,747,25072,883,127,25464,805,2362,854,5909,28218,851,690,7280
BOOLY_4Huh7_TGFa_IKK_c03rD,,,,1,,,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19479,24241,14122,516,732,573,24572,2193,72,13977,2442,1254,949,8784,27572,1394,570,5883
BOOLY_4Huh7_TGFa_PI3K+MEK_c03rE,,,,1,,,,1,,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5542,8248,6068,653,983,756,17372,1044,107,23907,666,2561,794,2656,28437,763,564,6105
BOOLY_4Huh7_TGFa_MEK+IKK_c03rF,,,,1,,,,1,,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23694,9822,13675,665,1087,753,24220,1081,81,16092,587,978,913,5442,28688,1371,691,7292
BOOLY_4Huh7_TGFa_IKK+PI3K_c03rG,,,,1,,,,1,,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1306,24597,13032,554,727,668,21486,1926,66,11688,2511,1361,949,7173,27899,1590,667,5629
BOOLY_4Huh7_TGFa_PI3K+MEK+IKK_c03rH,,,,1,,,,1,,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4810,7464,4397,519,754,611,13464,892,60,11828,435,840,703,2856,28435,700,432,5972
BOOLY_4Huh7_IL6_NOINH_c04rA,,,,1,,,,,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3721,9226,6763,359,249,146,24328,1098,9614,5540,427,2552,711,4339,23374,704,436,4098
BOOLY_4Huh7_IL6_PI3K_c04rB,,,,1,,,,,1,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,865,10890,4181,391,241,152,14636,999,10433,2702,347,2705,715,2786,23804,636,437,4039
BOOLY_4Huh7_IL6_MEK_c04rC,,,,1,,,,,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6654,3539,6961,573,499,303,23767,819,9572,20793,260,1844,771,3785,28441,819,693,4267
BOOLY_4Huh7_IL6_IKK_c04rD,,,,1,,,,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1630,3816,3402,282,267,101,10319,722,55,1212,121,985,862,2902,18089,1135,288,3731
BOOLY_4Huh7_IL6_PI3K+MEK_c04rE,,,,1,,,,,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1402,4031,2741,657,500,408,7715,717,11414,17960,242,2839,739,1954,28205,1193,810,3991
BOOLY_4Huh7_IL6_MEK+IKK_c04rF,,,,1,,,,,1,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4074,1872,3172,550,303,231,11892,677,51,2948,131,865,767,2158,28276,872,609,3382
BOOLY_4Huh7_IL6_IKK+PI3K_c04rG,,,,1,,,,,1,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,399,4519,1379,313,166,55,5339,636,23,1372,105,779,791,1583,20225,689,188,3521
BOOLY_4Huh7_IL6_PI3K+MEK+IKK_c04rH,,,,1,,,,,1,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1131,1979,1218,493,384,254,4113,750,55,3110,137,947,796,1908,27766,1255,471,3830
BOOLY_4Huh7_INS_NOINH_c05rA,,,,1,,,,,,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24365,6617,13845,369,293,102,24934,934,98,7760,247,2588,875,4111,23059,697,254,5999
BOOLY_4Huh7_INS_PI3K_c05rB,,,,1,,,,,,1,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10428,5917,8652,330,229,74,21964,841,96,3140,204,2670,745,2666,22328,701,212,5395
