ID:1,ID:2,ID:3,TR:HepG2:CellLine,TR:NOCYTO,TR:TGFa,TR:IL1a,TR:IGF1,TR:IL6,TR:NOINHIB,TR:MEK12i,TR:P38i,TR:PI3Ki,TR:IKKi,TR:EGFRi-Gefin,DA:AKT (75),DA:ERK12 (38),DA:GSK3 (18),DA:Ikb (58),DA:JNK12 (34),DA:p38 (36),DA:p70S6 (55),DA:p90RSK (35),DA:STAT3 (52),DA:cJUN (56),DA:CREB (19),DA:HSP27 (51),DA:IRS1s (76),DA:MEK12 (40),DA:p53 (53),DV:AKT (75),DV:ERK12 (38),DV:GSK3 (18),DV:Ikb (58),DV:JNK12 (34),DV:p38 (36),DV:p70S6 (55),DV:p90RSK (35),DV:STAT3 (52),DV:cJUN (56),DV:CREB (19),DV:HSP27 (51),DV:IRS1s (76),DV:MEK12 (40),DV:p53 (53)
X44,D6,PL2_30min_X44_06D_IGF_GEFI,1,,,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23511,345,2704,202,146,61,3870,431,323,3106,152.5,344,1161,2281.5,442.5
X45,E6,PL2_30min_X45_06E_IL6_GEFI,1,,,,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3014,1011.5,1251,197.5,137,150.5,5825.5,923,15371,4291,301,289,2092,4553,441
X46,F6,PL2_30min_X46_06F_IGF_TGF_GEFI,1,,1,,1,,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22115,353,2005,208.5,143,47,3689.5,401,265.5,2736,125.5,270.5,936,2345.5,505.5
X47,G6,PL2_30min_X47_06G_IL6_IL1a_GEFI,1,,,1,,1,,,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1195,1126,1367,5311,2182,1762.5,15330,1582,11455,15814,2379.5,3858.5,6798,6367,1286
X48,H6,PL2_30min_X48_06H_DME_GEFI,1,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420,308.5,739,233,140,67,1331,355.5,403,3915,156,270,1097.5,2942,608.5
X49,A7,PL2_30min_X49_07A_DME_PI3K_MEK,1,1,,,,,,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.5,167,1169.5,160,126,41,669,243,333.5,3178.5,174,239,550,2786.5,617
X50,B7,PL2_30min_X50_07B_TGFa_PI3K_MEK,1,,1,,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8466.5,173,1169,264,173,77,1244,251,368,5996,139,339,857,11357,670.5
X51,C7,PL2_30min_X51_07C_IL1a_PI3K_MEK,1,,,1,,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,623,184,901,6599,2097,2390.5,14101,237,157,18049,2412.5,6004,6746,7418,1278
X52,D7,PL2_30min_X52_07D_IGF_PI3K_MEK,1,,,,1,,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,12778,178,2124,222,169.5,41,1064.5,254,368,3087,177,333,854,3398,699
X53,E7,PL2_30min_X53_07E_IL6_PI3K_MEK,1,,,,,1,,1,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1006,139,965,141,117,51.5,722,197.5,14941,2974,139,247,520.5,4756,503
