TR:1BRcell:CellLine,TR:no pep,TR:L0.04,TR:Q4,TR:L0.4,TR:L4,TR:Y4,DA:ERK1,DA:ERK2,DA:JNK1,DA:JNK3,DA:JNK2,DA:nNFAT,DA:IL-2,DA:Akt,DA:p38,DA:MK2,DA:IKK,DA:cNFAT,DV:ERK1,DV:ERK2,DV:JNK1,DV:JNK3,DV:JNK2,DV:nNFAT,DV:IL-2,DV:Akt,DV:p38,DV:MK2,DV:IKK,DV:cNFAT
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,6.63,5.73,0.55,3.01,4.09,0.73,0,0,1.32,3.6,0.89,3.03
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,9.95,8.96,0.8,3.47,4.29,13.7,0,0,1.36,2.39,0.72,4.18
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2081.0,1973.4,172.98,806.86,951.04,0,0,0,341.38,645.54,186.39,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.53,0,1.0,1.0,0,0,0.55
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,51.46,65.29,1.2,2.34,2.05,1.05,0,5.07,5.83,3.05,0.53,0.81
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,33.41,20.8,2.35,2.96,2.42,1.47,0,4.28,1.78,1.85,27.68,0.49
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,89.22,73.81,1.33,3.55,2.58,34.35,0,6.38,4.58,5.25,18.61,1.4
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,17.1,5.4,3.23,1.63,2.14,0.5,1.52,2.55,0.75,1.46,12.4,0.22
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,38.85,26.69,0.43,1.6,1.25,16.0,0,5.81,1.18,2.83,19.39,0.93
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,8788.7,6226.9,481.24,564.97,502.07,0,0,1040.5,465.41,563.76,4585.2,0
