TR:PriHu:CellLine,TR:NOCYTO,TR:IFNG,TR:TNFA,TR:IL1A,TR:IL6,TR:IGF1,TR:TGFA,TR:lps,TR:NOINHIB,TR:MP2K2/MP2K1i,TR:p38i,TR:pi3ki,TR:ikki,TR:MTORi,TR:GSK3A/GSK3Bi,TR:MK08/MK09i,DA:akt,DA:MK03/MK01,DA:GSK3A/GSK3B,DA:IKBA,DA:KS6B1,DA:KS6A1,DA:STAT3,DA:JUN,DA:creb,DA:HSPB1,DA:IRS1_s,DA:MP2K2/MP2K1,DV:akt,DV:MK03/MK01,DV:GSK3A/GSK3B,DV:IKBA,DV:KS6B1,DV:KS6A1,DV:STAT3,DV:JUN,DV:creb,DV:HSPB1,DV:IRS1_s,DV:MP2K2/MP2K1
1, ,1, , , , , , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,1443,465,939,38,3760,167,53,10669,590,16193,867,1045
1, ,1, , , , , , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,2018,380,1207,123,1759,147,49,10449,404,3276,651,1922
1, ,1, , , , , , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,1695,355,967,251,2562,152,50,11969,498,4055,671,1778
1, ,1, , , , , , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,2766,220,571,205,199,96,28,8329,435,7213,348,1094
1, , ,1, , , , , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,5512,531,2092,1732,6505,296,36,20890,811,11565,1058,2708
1, , ,1, , , , , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,5689,214,1786,1397,5774,202,53,20494,763,11759,996,13851
1, , ,1, , , , , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4318,461,1669,1375,4936,247,45,18453,543,1795,897,2822
1, , ,1, , , , , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,2923,316,1171,1029,3735,216,33,16562,584,9639,871,2305
1, , ,1, , , , , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,5143,616,1631,311,6057,238,15,14873,752,23428,1306,1609
1, , ,1, , , , , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,3428,402,2194,877,2066,238,32,15425,498,6875,845,2189
1, , ,1, , , , , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,3109,468,1650,1209,4023,219,42,15768,722,8872,844,2151
1, , ,1, , , , , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,2050,224,481,737,292,64,14,8417,457,6247,315,1010
1, , , ,1, , , , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4998,314,2180,1474,7566,291,108,20306,779,16962,1232,3156
1, , , ,1, , , , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,8186,118,2456,1593,8158,178,225,22761,799,18537,1198,13684
1, , , ,1, , , , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,6059,375,2353,1709,7766,405,168,22334,591,3149,1458,4389
1, , , ,1, , , , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,3798,240,1295,1154,5072,268,126,21387,771,17004,1091,3386
1, , , ,1, , , , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,3910,648,2051,972,7697,302,22,19352,599,23242,1809,1725
1, , , ,1, , , , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,3563,281,1961,1188,2324,190,84,18611,641,12957,988,2731
1, , , ,1, , , , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,3053,320,1884,1250,5190,229,65,19488,722,14297,1086,2348
1, , , ,1, , , , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,1472,283,656,1485,471,134,27,13773,491,11698,503,1532
1, , , , ,1, , , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,7004,401,2370,560,7146,275,2264,19862,801,11468,1401,4232
1, , , , ,1, , , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,7781,111,2181,459,7122,96,2454,22592,683,12879,973,13726
1, , , , ,1, , , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,6385,367,1761,483,6524,179,2826,21861,534,1872,942,4591
1, , , , ,1, , , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4079,293,1336,256,3870,178,2741,16730,599,10692,788,4325
1, , , , ,1, , , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,5305,934,2083,67,7740,240,2604,15665,967,21885,1467,2276
1, , , , ,1, , , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,5902,352,2361,281,1552,142,1588,14562,502,7160,683,2948
1, , , , ,1, , , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,3234,410,1603,338,3133,128,1426,13681,583,6534,761,2144
1, , , , ,1, , , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,1760,215,677,151,451,69,1083,7210,492,7650,354,935
1, , , , , ,1, , ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,7019,292,1883,499,4523,200,48,18026,639,6417,884,2490
1, , , , , ,1, , , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,6786,111,1481,344,4528,107,29,18353,481,7974,569,13352
1, , , , , ,1, , , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,5810,313,1571,292,3569,193,40,18329,465,1910,724,2982
1, , , , , ,1, , , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4506,314,1272,222,2513,186,31,17063,442,9320,639,2846
1, , , , , ,1, , , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,4457,437,1504,44,5395,199,20,14729,762,22989,964,1368
1, , , , , ,1, , , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,5710,448,2427,247,1701,246,32,15600,521,6538,741,2412
1, , , , , ,1, , , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,3204,558,1909,279,3042,210,35,15085,545,7113,773,2011
1, , , , , ,1, , , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,2888,266,851,143,595,125,26,7595,448,8945,347,1059
1, , , , , , ,1, ,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4897,3120,3699,904,12143,912,34,23674,699,12082,2946,20437
1, , , , , , ,1, , ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,7097,766,2847,794,9407,762,63,23350,682,11662,2159,24623
1, , , , , , ,1, , , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,6439,3978,5262,962,12194,1549,39,23029,694,2753,3347,23504
1, , , , , , ,1, , , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4463,3838,4100,644,8955,1023,24,22895,701,11566,2766,22855
1, , , , , , ,1, , , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,6061,6601,3832,85,11579,1150,16,20172,1144,23061,2389,19256
1, , , , , , ,1, , , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,6308,5354,5200,567,8435,1350,33,23608,799,13239,2647,23612
1, , , , , , ,1, , , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,2893,4276,3945,624,8085,773,23,23317,698,9461,2055,19624
1, , , , , , ,1, , , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,2341,4871,1983,284,4367,513,10,9478,672,10215,1379,18782
1, , , , , , , ,1,1, , , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,3284,340,1812,1637,4910,206,146,21627,814,17114,1064,3270
1, , , , , , , ,1, ,1, , , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,5523,156,1407,1909,6425,107,210,23148,786,19148,1016,13473
1, , , , , , , ,1, , ,1, , , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4311,538,1726,1937,6976,366,225,21612,636,3908,1325,4167
1, , , , , , , ,1, , , ,1, , , , ,180,180,180,180,180,180,180,180,180,180,180,180,4054,325,1309,1398,3676,266,170,22045,727,20886,927,3495
1, , , , , , , ,1, , , , ,1, , , ,180,180,180,180,180,180,180,180,180,180,180,180,4512,829,2093,1139,5135,218,15,18183,535,23528,1678,2195
1, , , , , , , ,1, , , , , ,1, , ,180,180,180,180,180,180,180,180,180,180,180,180,8051,441,2861,1692,3282,308,153,21327,769,20824,1126,4029
1, , , , , , , ,1, , , , , , ,1, ,180,180,180,180,180,180,180,180,180,180,180,180,2990,334,1457,1270,4012,166,114,19831,669,18278,779,2670
1, , , , , , , ,1, , , , , , , ,1,180,180,180,180,180,180,180,180,180,180,180,180,3264,484,807,1888,2164,176,22,13949,594,17998,497,1781
